site_name,site_id,date,time,depth_cm,temperature_C,latitude,longitude,northing,easting,utm_zone,geom
Grand Mesa,8N38,2020-01-30,13:42:00-06:00,76.0,-7.9,39.03063331925181,-108.16612590175315,4323998.0,745305.0,12,POINT (745305 4323998)
Grand Mesa,9N29,2020-01-30,11:15:00-06:00,120.0,-7.9,39.03314310418068,-108.17785373511889,4324245.0,744281.0,12,POINT (744281 4324245)
Grand Mesa,9C19,2020-01-30,11:43:00-06:00,98.0,-7.6,39.03861426404042,-108.18728171543809,4324827.0,743446.0,12,POINT (743446 4324827)
Grand Mesa,2C33,2020-01-30,15:00:00-06:00,97.0,-8.3,39.01310950059607,-108.16125999818463,4322066.0,745787.0,12,POINT (745787 4322066)
Grand Mesa,5C21,2020-01-30,09:20:00-06:00,90.0,-13.2,39.03534203182224,-108.18235206965099,4324477.0,743884.0,12,POINT (743884 4324477)
Grand Mesa,6N36,2020-01-30,14:30:00-06:00,114.0,-6.8,39.03227797252908,-108.16818551043313,4324175.0,745121.0,12,POINT (745121 4324175)
Grand Mesa,8N34,2020-01-30,13:15:00-06:00,105.0,-6.8,39.031616240811225,-108.17061447876125,4324095.0,744913.0,12,POINT (744913 4324095)
Grand Mesa,5N41,2020-01-30,15:16:00-06:00,92.0,-7.4,39.03046106327678,-108.16274849807368,4323988.0,745598.0,12,POINT (745598 4323988)
Grand Mesa,7C15,2020-01-30,11:24:00-06:00,100.0,-7.3,39.045624299215355,-108.1959224343102,4325582.0,742674.0,12,POINT (742674 4325582)
Grand Mesa,5C20,2020-01-30,09:15:00-06:00,112.0,-10.1,39.03780747951342,-108.1878220027442,4324736.0,743402.0,12,POINT (743402 4324736)
Grand Mesa,2S35,2020-01-30,13:10:00-06:00,99.0,-7.3,39.01656021429802,-108.16238067647708,4322446.0,745678.0,12,POINT (745678 4322446)
Grand Mesa,5S31,2020-01-30,14:35:00-06:00,112.0,-6.5,39.01946605936349,-108.16480514509476,4322762.0,745458.0,12,POINT (745458 4322762)
Grand Mesa,FL2A,2020-02-11,09:30:00-06:00,112.0,-16.1,39.03440841851604,-108.21963021265755,4324274.0,740660.0,12,POINT (740660 4324274)
Grand Mesa,1N5,2020-02-11,15:04:00-06:00,88.0,-5.1,39.03617508243994,-108.21137090874883,4324492.0,741369.0,12,POINT (741369 4324492)
Grand Mesa,1N7,2020-02-11,13:40:00-06:00,84.0,-6.7,39.03205946129425,-108.20579202174467,4324050.0,741866.0,12,POINT (741866 4324050)
Grand Mesa,2N21,2020-02-11,15:00:00-06:00,103.0,-13.2,39.03210139060046,-108.187309081564,4324104.0,743466.0,12,POINT (743466 4324104)
Grand Mesa,2S6,2020-02-11,11:25:00-06:00,89.0,-10.42,39.02189197421448,-108.19769242773901,4322943.0,742602.0,12,POINT (742602 4322943)
Grand Mesa,2N14,2020-02-11,13:00:00-06:00,96.0,-10.3,39.03332577110025,-108.19437592151948,4324221.0,742850.0,12,POINT (742850 4324221)
Grand Mesa,1N3,2020-02-11,11:08:00-06:00,67.0,-11.8,39.03378711540028,-108.2185110158262,4324208.0,740759.0,12,POINT (740759 4324208)
Grand Mesa,1S12,2020-02-11,09:17:00-06:00,91.0,-17.1,39.018263387276924,-108.19141478387586,4322557.0,743158.0,12,POINT (743158 4322557)
Grand Mesa,1N23,2020-02-11,15:50:00-06:00,68.0,-11.6,39.03183554051128,-108.18637246675998,4324077.0,743548.0,12,POINT (743548 4324077)
Grand Mesa,8N52,2020-02-04,15:00:00-06:00,88.0,-14.6,39.0307522287004,-108.1451569905348,4324068.0,747120.0,12,POINT (747120 4324068)
Grand Mesa,2S46,2020-02-04,10:30:00-06:00,89.0,-16.3,39.016119237579666,-108.14175030263954,4322453.0,747466.0,12,POINT (747466 4322453)
Grand Mesa,7N40,2020-02-04,09:18:00-06:00,101.0,-17.9,39.03070009869605,-108.16368607491907,4324012.0,745516.0,12,POINT (745516 4324012)
Grand Mesa,8N37,2020-02-04,10:30:00-06:00,108.0,-17.8,39.03215686585484,-108.16653858952874,4324166.0,745264.0,12,POINT (745264 4324166)
Grand Mesa,8N51,2020-02-04,12:12:00-06:00,81.0,-18.3,39.03130749560974,-108.14575836440105,4324128.0,747066.0,12,POINT (747066 4324128)
Grand Mesa,6S44,2020-02-04,11:43:00-06:00,104.0,-14.7,39.016753178470246,-108.14629784489847,4322511.0,747070.0,12,POINT (747070 4322511)
Grand Mesa,9N47,2020-02-04,01:35:00-06:00,95.0,-15.8,39.03160949319217,-108.15110569771285,4324147.0,746602.0,12,POINT (746602 4324147)
Grand Mesa,6S34,2020-02-04,09:50:00-06:00,70.0,-18.8,39.01580024748512,-108.16261893931191,4322361.0,745660.0,12,POINT (745660 4322361)
Grand Mesa,5S42,2020-02-04,13:37:00-06:00,88.0,-15.4,39.01589078192609,-108.14860750292644,4322409.0,746873.0,12,POINT (746873 4322409)
Grand Mesa,3S52,2020-02-04,14:43:00-06:00,100.0,-12.56,39.01646739365216,-108.12659668360368,4322533.0,748777.0,12,POINT (748777 4322533)
Grand Mesa,8N54,2020-02-04,10:50:00-06:00,67.0,-17.1,39.03072755694471,-108.14157733778477,4324075.0,747430.0,12,POINT (747430 4324075)
Grand Mesa,5S49,2020-02-04,09:10:00-06:00,111.0,-17.8,39.01645590760997,-108.1382145569197,4322500.0,747771.0,12,POINT (747771 4322500)
Grand Mesa,9N42,2020-02-04,12:40:00-06:00,115.0,-18.7,39.032851202380456,-108.1621215141214,4324255.0,745644.0,12,POINT (745644 4324255)
Grand Mesa,3S33,2020-02-04,11:24:00-06:00,102.0,-18.2,39.0168270547287,-108.16409069134548,4322471.0,745529.0,12,POINT (745529 4322471)
Grand Mesa,9N43,2020-02-04,14:00:00-06:00,117.0,-13.2,39.031427480375356,-108.16210919451771,4324097.0,745650.0,12,POINT (745650 4324097)
Grand Mesa,2S27,2020-02-04,15:15:00-06:00,70.0,-15.2,39.01795807408548,-108.1672559415688,4322588.0,745251.0,12,POINT (745251 4322588)
Grand Mesa,9N56,2020-02-04,09:14:00-06:00,101.0,,39.03110825649437,-108.13910172807371,4324124.0,747643.0,12,POINT (747643 4324124)
Grand Mesa,5S29,2020-02-04,13:40:00-06:00,110.0,-16.3,39.01800995815297,-108.1653137312568,4322599.0,745419.0,12,POINT (745419 4322599)
Grand Mesa,9S51,2020-01-29,15:10:00-06:00,66.0,-7.1,39.017478956796,-108.13182172536915,4322631.0,748321.0,12,POINT (748321 4322631)
Grand Mesa,2S36,2020-01-29,13:38:00-06:00,95.0,-7.2,39.01574092291596,-108.16203236067153,4322356.0,745711.0,12,POINT (745711 4322356)
Grand Mesa,2S3,2020-01-29,10:35:00-06:00,66.0,-7.2,39.02108879480935,-108.20288656906834,4322840.0,742155.0,12,POINT (742155 4322840)
Grand Mesa,2S25,2020-01-29,08:50:00-06:00,103.0,-7.2,39.01624624511297,-108.16836363030188,4322395.0,745161.0,12,POINT (745161 4322395)
Grand Mesa,3S47,2020-01-29,12:56:00-06:00,102.0,-4.0,39.01436727848361,-108.1415783819678,4322259.0,747487.0,12,POINT (747487 4322259)
Grand Mesa,3S5,2020-01-29,12:10:00-06:00,108.0,-7.3,39.01911250109865,-108.19862218892403,4322632.0,742531.0,12,POINT (742531 4322632)
Grand Mesa,5S24,2020-01-29,10:25:00-06:00,97.0,-5.0,39.018263367856854,-108.16906841154096,4322617.0,745093.0,12,POINT (745093 4322617)
Grand Mesa,1S1,2020-01-29,09:05:00-06:00,83.0,-9.6,39.02119883049925,-108.20559625462403,4322845.0,741920.0,12,POINT (741920 4322845)
Grand Mesa,5S43,2020-01-29,11:02:00-06:00,60.0,-7.3,39.01815201236313,-108.14786990081174,4322662.0,746929.0,12,POINT (746929 4322662)
Grand Mesa,2S48,2020-01-29,09:10:00-06:00,85.0,-8.0,39.01555750093844,-108.1394171446741,4322397.0,747670.0,12,POINT (747670 4322397)
Grand Mesa,6S19,2020-01-29,14:00:00-06:00,139.0,-9.2,39.01845578169119,-108.18072475178951,4322607.0,744083.0,12,POINT (744083 4322607)
Grand Mesa,8S30,2020-01-29,12:07:00-06:00,119.0,-3.6,39.016690867543694,-108.16515857213005,4322453.0,745437.0,12,POINT (745437 4322453)
Grand Mesa,6C37,2020-01-29,15:00:00-06:00,117.0,-7.4,39.007603525023534,-108.1479128642137,4321491.0,746962.0,12,POINT (746962 4321491)
Grand Mesa,FL1B,2020-02-12,10:44:00-06:00,100.0,-8.7,39.021927594265115,-108.1741654574565,4323010.0,744639.0,12,POINT (744639 4323010)
Grand Mesa,5N32,2020-02-12,12:57:00-06:00,102.0,-3.0,39.0304441267319,-108.17168924289051,4323962.0,744824.0,12,POINT (744824 4323962)
Grand Mesa,5N24,2020-02-12,13:45:00-06:00,113.0,-3.3,39.03294499051858,-108.18568158859718,4324202.0,743604.0,12,POINT (743604 4324202)
Grand Mesa,2C12,2020-02-12,08:48:00-06:00,83.0,-12.3,39.053236182812654,-108.20076284529837,4326414.0,742229.0,12,POINT (742229 4326414)
